District,Village,Optimal Sample (HH),Optimal Days
Ngamiland,Toteng,89.0,3.0
Ngamiland,Legotlhwane,,
Ngamiland,Sehithwa,94.0,3.0
Ngamiland,Bodibeng,80.0,2.0
Ngamiland,Bothatogo,70.0,2.0
Ngamiland,Kareng,84.0,3.0
Ngamiland,Tsau,91.0,3.0
Ngamiland,Semboyo,60.0,2.0
Ngamiland,Makakung,54.0,2.0
Ngamiland,Phuduhudu,69.0,2.0
Ngamiland,Shorobe,78.0,2.0
Ngamiland,Nokaneng,93.0,3.0
Ngamiland,Komana,44.0,1.0
Bobirwa,Robelela,76.0,2.0
Bobirwa,Mmadinare,104.0,3.0
Bobirwa,Damochujenaa,86.0,3.0
Bobirwa,Gobojango,90.0,3.0
Bobirwa,Mabolwe,73.0,2.0
Bobirwa,Semolale,86.0,3.0
Bobirwa,Mathathane,94.0,3.0
Kgalagadi,Hukuntsi,100.0,3.0
Kgalagadi,Tshane,80.0,2.0
Kgalagadi,Lehututu,90.0,3.0
Kgalagadi,Maake,61.0,2.0
Kgalagadi,Tshabong,104.0,3.0
Kgalagadi,Kisa,58.0,2.0
Kgalagadi,Mabutsane,93.0,3.0
